"question","answer","Questions","Answers","questions","answers"
"Why does Income Tax Department issue notices?","Notices are issued for verification of return, mismatch in data, scrutiny, reassessment, or non-compliance.","","","",""
"What is notice under Section 139(9)?","Section 139(9) notice is issued when the return filed is defective or incomplete.","","","",""
"What is the time limit to respond to Section 139(9) notice?","Taxpayer must rectify defect within 15 days or extended period allowed by officer.","","","",""
"What is notice under Section 143(1)?","Section 143(1) intimation is issued after processing return showing tax payable, refund, or adjustments.","","","",""
"What is scrutiny notice under Section 143(2)?","Section 143(2) notice is issued when return is selected for detailed scrutiny assessment.","","","",""
"What is the time limit for issuing Section 143(2) notice?","Notice must be issued within 3 months from end of financial year in which return is filed.","","","",""
"What is notice under Section 142(1)?","Section 142(1) notice seeks additional information, documents, or return filing for assessment.","","","",""
"Can assessment proceed without replying to 142(1) notice?","No, non-compliance may lead to best judgment assessment under Section 144.","","","",""
"What is best judgment assessment under Section 144?","Section 144 assessment is made by officer based on available information when taxpayer fails to comply with notices.","","","",""
"What is reassessment notice under Section 148?","Section 148 notice is issued when income has escaped assessment and reassessment is initiated.","","","",""
"What is Section 148A?","Section 148A provides procedure of inquiry and opportunity of hearing before issuing notice under Section 148.","","","",""
"What is notice under Section 148A(b)?","148A(b) notice asks taxpayer to show cause why reassessment should not be initiated.","","","",""
"What is the reply requirement under Section 148A(b)?","Taxpayer must respond within the time specified, usually 7 to 30 days.","","","",""
"What is order under Section 148A(d)?","148A(d) order is passed after considering reply, deciding whether reassessment notice should be issued.","","","",""
"What is notice under Section 156?","Section 156 is a demand notice issued when tax, interest, or penalty is payable.","","","",""
"What is the due date to pay demand under Section 156?","Taxpayer must pay within 30 days from date of service unless reduced by officer.","","","",""
"What is notice under Section 245?","Section 245 intimation is issued for adjustment of refund against outstanding tax demand.","","","",""
"Can taxpayer object to refund adjustment under Section 245?","Yes, taxpayer can respond and disagree before refund is adjusted.","","","",""
"What is penalty notice under Section 274?","Section 274 notice is issued before imposing penalty, giving taxpayer opportunity of being heard.","","","",""
"What is notice under Section 133(6)?","Section 133(6) notice seeks information from taxpayer or third parties like banks for verification.","","","",""
"What is faceless assessment notice?","Faceless assessment notices are issued electronically with no physical interaction under new assessment scheme.","","","",""
"Where can notices be checked?","Notices can be viewed on Income Tax e-filing portal under e-Proceedings or Compliance section.","","","",""
"What happens if Income Tax notice is ignored?","Ignoring notice may result in penalties, ex-parte assessment, prosecution, or demand recovery actions.","","","",""
"Why are Income Tax notices important for CA professionals?","CAs handle drafting replies, document submission, litigation strategy, and ensure timely compliance to avoid heavy consequences.","","","",""
"What is advance tax?","Advance tax is income tax paid in installments during the financial year instead of paying lump sum at year-end.","","","",""
"Who is liable to pay advance tax?","Any taxpayer whose total tax liability exceeds Rs. 10,000 in a financial year is liable to pay advance tax.","","","",""
"Is advance tax applicable to salaried employees?","Yes, if tax is not fully covered by TDS and liability exceeds Rs. 10,000.","","","",""
"Are senior citizens exempt from advance tax?","Yes, resident senior citizens (60+) without business or professional income are exempt.","","","",""
"What are the due dates for advance tax installments for individuals?","15th June, 15th September, 15th December, and 15th March are the advance tax due dates.","","","",""
"What percentage of advance tax must be paid by 15th June?","At least 15% of total advance tax liability must be paid by 15th June.","","","",""
"What percentage of advance tax must be paid by 15th September?","At least 45% of total advance tax liability must be paid by 15th September.","","","",""
"What percentage of advance tax must be paid by 15th December?","At least 75% of total advance tax liability must be paid by 15th December.","","","",""
"What percentage of advance tax must be paid by 15th March?","At least 100% of total advance tax liability must be paid by 15th March.","","","",""
"What is Section 234A interest?","Section 234A interest is levied for delay in filing Income Tax Return beyond due date.","","","",""
"What is the rate of interest under Section 234A?","Interest is charged at 1% per month or part of month on tax payable.","","","",""
"On what amount is Section 234A interest calculated?","It is calculated on tax payable after reducing TDS, advance tax, and reliefs.","","","",""
"What is Section 234B interest?","Section 234B interest is levied for default in payment of advance tax.","","","",""
"When is Section 234B applicable?","It applies when advance tax paid is less than 90% of assessed tax.","","","",""
"What is the rate of interest under Section 234B?","Interest is charged at 1% per month from 1st April till date of payment.","","","",""
"What is assessed tax for Section 234B?","Assessed tax means tax on total income minus TDS and reliefs.","","","",""
"What is Section 234C interest?","Section 234C interest is levied for deferment of advance tax installments.","","","",""
"When does Section 234C apply?","It applies when required installment percentages are not paid by due dates.","","","",""
"What is interest rate under Section 234C?","Interest is charged at 1% per month for shortfall in installments.","","","",""
"How is 234C interest calculated for June installment?","Interest is levied for 3 months on shortfall if payment is less than 15%.","","","",""
"How is 234C interest calculated for September installment?","Interest is levied for 3 months on shortfall if payment is less than 45%.","","","",""
"How is 234C interest calculated for December installment?","Interest is levied for 3 months on shortfall if payment is less than 75%.","","","",""
"How is 234C interest calculated for March installment?","Interest is levied for 1 month on shortfall if payment is less than 100%.","","","",""
"Is advance tax applicable for presumptive taxation taxpayers?","Yes, but they need to pay entire advance tax by 15th March in one installment.","","","",""
"Why are advance tax and interest provisions important for CA professionals?","CAs ensure correct tax planning, avoid heavy interest costs, and guide clients on timely compliance.","","","",""
"What is a tax audit under Income Tax Act?","Tax audit is an examination of accounts of taxpayer to ensure compliance with Income Tax Act, conducted under Section 44AB.","","","",""
"Who is required to get tax audit done under Section 44AB?","Businesses with turnover exceeding prescribed limits and professionals with gross receipts exceeding limits must get tax audit done.","","","",""
"What is the turnover limit for tax audit for business?","Generally Rs. 1 crore, but can be Rs. 10 crores if cash transactions are within specified limits.","","","",""
"What is the gross receipts limit for tax audit for professionals?","Tax audit applies if gross receipts exceed Rs. 50 lakhs in a financial year.","","","",""
"Which form is used for tax audit report?","Tax audit report is furnished in Form 3CA or Form 3CB along with Form 3CD.","","","",""
"When is Form 3CA applicable?","Form 3CA is applicable when taxpayer is already required to get accounts audited under any other law.","","","",""
"When is Form 3CB applicable?","Form 3CB is applicable when taxpayer is not required to audit accounts under any other law.","","","",""
"What is Form 3CD?","Form 3CD is the statement of particulars to be furnished along with tax audit report.","","","",""
"What is Clause 4 of Form 3CD?","Clause 4 requires reporting of taxpayer’s registration details under indirect tax laws like GST.","","","",""
"What is Clause 8a of Form 3CD?","Clause 8a requires reporting of nature of business or profession carried out by assessee.","","","",""
"What is Clause 9 of Form 3CD?","Clause 9 requires reporting of changes in nature of business or profession during the year.","","","",""
"What is Clause 11 of Form 3CD?","Clause 11 requires reporting of books of account maintained and their location.","","","",""
"What is Clause 13 of Form 3CD?","Clause 13 requires reporting of method of accounting and ICDS compliance.","","","",""
"What is Clause 14 of Form 3CD?","Clause 14 requires reporting of valuation of closing stock and deviations from prescribed methods.","","","",""
"What is Clause 15 of Form 3CD?","Clause 15 requires reporting of profits and losses under presumptive taxation sections.","","","",""
"What is Clause 16 of Form 3CD?","Clause 16 requires reporting of amounts not credited to profit and loss account but taxable.","","","",""
"What is Clause 17 of Form 3CD?","Clause 17 requires reporting of transfer of land/building for stamp duty valuation differences.","","","",""
"What is Clause 18 of Form 3CD?","Clause 18 requires reporting of depreciation details under Income Tax Act.","","","",""
"What is Clause 19 of Form 3CD?","Clause 19 requires reporting of deductions claimed under Chapter VI-A.","","","",""
"What is Clause 20 of Form 3CD?","Clause 20 requires reporting of compliance with TDS/TCS provisions on payments.","","","",""
"What is Clause 21 of Form 3CD?","Clause 21 requires reporting of disallowances under Section 40A and other expense disallowances.","","","",""
"What is Clause 22 of Form 3CD?","Clause 22 requires reporting of payments made to persons specified under Section 40A(2)(b).","","","",""
"What is Clause 26 of Form 3CD?","Clause 26 requires reporting of amounts inadmissible under Section 43B unless actually paid.","","","",""
"What is Clause 34 of Form 3CD?","Clause 34 requires reporting of TDS compliance, return filing, and disallowance implications.","","","",""
"Why is Form 3CD important for CA professionals?","Form 3CD ensures detailed compliance reporting, identifies disallowances, and reduces litigation risk for clients.","","","",""
"What is capital gain under Income Tax Act?","Capital gain is profit arising from transfer of a capital asset such as property, shares, or mutual funds.","","","",""
"What is a capital asset?","Capital asset includes property, securities, bonds, mutual funds, and any investment held by taxpayer, excluding stock-in-trade.","","","",""
"What is the difference between short-term and long-term capital gain?","Short-term capital gain arises when asset is held for shorter period, while long-term capital gain arises when held beyond specified period.","","","",""
"What is holding period for long-term capital gain on immovable property?","For immovable property, holding period exceeding 24 months makes it long-term.","","","",""
"What is holding period for long-term capital gain on listed equity shares?","For listed equity shares, holding period exceeding 12 months makes it long-term.","","","",""
"What is holding period for long-term capital gain on mutual funds?","For equity mutual funds, more than 12 months; for debt mutual funds, generally more than 36 months (subject to amendments).","","","",""
"How is short-term capital gain on equity shares taxed?","STCG on equity shares under Section 111A is taxed at 15% if STT is paid.","","","",""
"How is long-term capital gain on equity shares taxed?","LTCG on equity shares under Section 112A is taxed at 10% exceeding Rs. 1 lakh if STT is paid.","","","",""
"What is Section 112A?","Section 112A provides taxation of long-term capital gains on listed equity shares and equity mutual funds.","","","",""
"What is exemption limit under Section 112A?","LTCG up to Rs. 1 lakh per year is exempt, tax applies beyond that.","","","",""
"How is long-term capital gain on property taxed?","LTCG on property is taxed at 20% with indexation benefit under Section 112.","","","",""
"What is indexation in capital gains?","Indexation adjusts purchase cost for inflation using Cost Inflation Index to reduce taxable gains.","","","",""
"What is cost of acquisition?","Cost of acquisition is the price paid to purchase the asset including expenses incurred for acquiring it.","","","",""
"What is cost of improvement?","Cost of improvement includes capital expenses incurred to enhance value of asset after purchase.","","","",""
"What is full value of consideration?","Full value of consideration is the sale price received or receivable on transfer of capital asset.","","","",""
"What is Section 50C?","Section 50C provides that stamp duty value is deemed sale consideration if it exceeds actual sale price of property.","","","",""
"What is Section 54 exemption?","Section 54 allows exemption on LTCG from sale of residential house if reinvested in another residential house.","","","",""
"What is time limit for investment under Section 54?","New house must be purchased within 1 year before or 2 years after sale, or constructed within 3 years.","","","",""
"What is Section 54EC exemption?","Section 54EC allows exemption if LTCG from property is invested in specified bonds like NHAI/REC within 6 months.","","","",""
"What is maximum investment limit under Section 54EC?","Maximum investment allowed is Rs. 50 lakhs in a financial year.","","","",""
"What is Section 54F exemption?","Section 54F provides exemption on LTCG from sale of any asset (other than house) if invested in residential house.","","","",""
"When is capital gain taxable?","Capital gain is taxable in the year in which transfer of asset takes place.","","","",""
"What is STT in capital gains taxation?","Securities Transaction Tax is a tax paid on stock exchange transactions, required for concessional equity taxation.","","","",""
"Is TDS applicable on sale of property?","Yes, buyer must deduct 1% TDS under Section 194IA if property value is Rs. 50 lakhs or more.","","","",""
"Why is capital gains taxation important for CA professionals?","CAs handle computation, exemptions, reinvestment planning, and compliance in high-value asset transfers.","","","",""
"What is disallowance under Income Tax Act?","Disallowance means an expense is not allowed as deduction while computing taxable income, increasing the tax liability.","","","",""
"What is Section 40A(3)?","Section 40A(3) disallows expenditure if payment exceeding prescribed limit is made in cash instead of banking channels.","","","",""
"What is the cash payment limit under Section 40A(3)?","Expense payment exceeding Rs. 10,000 in a day to a person in cash is disallowed.","","","",""
"What is the limit for cash payment to transport operators under Section 40A(3)?","For payments to transport operators, the cash limit is Rs. 35,000 in a day.","","","",""
"Is the entire expense disallowed under Section 40A(3)?","Yes, 100% of the expenditure is disallowed if conditions are violated.","","","",""
"Does Section 40A(3) apply to capital expenditure?","No, it applies only to revenue expenditure claimed as deduction.","","","",""
"Does Section 40A(3) apply to purchase of stock-in-trade?","Yes, cash purchases exceeding the limit may be disallowed.","","","",""
"What is Rule 6DD?","Rule 6DD provides exceptions where cash payments above limit are allowed without disallowance.","","","",""
"Give examples of exceptions under Rule 6DD.","Cash payments are allowed in cases like no banking facility, government payments, or payments on bank holiday.","","","",""
"What is Section 40A(3A)?","Section 40A(3A) applies when expenditure was allowed earlier but later payment is made in cash exceeding limit.","","","",""
"What is Section 14A?","Section 14A disallows expenses incurred in relation to income which does not form part of total taxable income.","","","",""
"Why is Section 14A applied?","Because expenses relating to exempt income cannot be claimed as deduction against taxable income.","","","",""
"What is exempt income under Section 14A?","Exempt income includes dividend income, tax-free bonds interest, or agricultural income not taxable.","","","",""
"How is disallowance under Section 14A calculated?","It is calculated using Rule 8D when Assessing Officer is not satisfied with taxpayer’s claim.","","","",""
"What is Rule 8D?","Rule 8D prescribes method for computing disallowance of expenditure related to exempt income.","","","",""
"Can Section 14A apply if no exempt income is earned?","Generally, courts have held no disallowance if taxpayer has not earned exempt income during the year.","","","",""
"What is Section 43B?","Section 43B allows certain expenses only on actual payment basis, not on accrual basis.","","","",""
"Which expenses are covered under Section 43B?","Expenses like GST, PF/ESI, bonus, commission, interest to banks, and statutory dues are covered.","","","",""
"What is the purpose of Section 43B?","To ensure statutory liabilities are paid before claiming deduction.","","","",""
"When can GST liability be claimed as deduction under Section 43B?","GST liability is allowed only if paid before the due date of filing return.","","","",""
"What is treatment of employee PF contribution under Section 43B?","Employee PF contribution must be deposited within due date under PF Act, otherwise disallowed.","","","",""
"What is treatment of employer PF contribution under Section 43B?","Employer contribution is allowed if paid before due date of filing income tax return.","","","",""
"Is bonus payable covered under Section 43B?","Yes, bonus or commission to employees is allowed only on actual payment.","","","",""
"What happens if statutory dues are unpaid at year-end?","They will be disallowed in that year but allowed in year of actual payment.","","","",""
"Why are disallowance provisions important for CA professionals?","CAs ensure compliance, avoid additions in assessments, and correctly compute taxable business income.","","","",""
"What is Salary Income under Income Tax Act?","Salary income includes remuneration received by an employee from employer, taxable under the head Income from Salary.","","","",""
"When is salary taxable?","Salary is taxable on due basis or receipt basis, whichever is earlier.","","","",""
"What is meant by employer-employee relationship?","Salary income arises only when there is a formal employer-employee relationship.","","","",""
"What are the components of salary?","Basic salary, allowances, perquisites, bonus, commission, gratuity, and pension form part of salary.","","","",""
"What is a perquisite?","Perquisite is a benefit or amenity provided by employer to employee in addition to salary.","","","",""
"Are perquisites taxable?","Yes, perquisites are taxable unless specifically exempt under Income Tax Act.","","","",""
"What is taxable value of rent-free accommodation?","Rent-free accommodation is valued as per prescribed rules based on salary and city category.","","","",""
"Is company-provided car a taxable perquisite?","Yes, car facility is taxable depending on usage for official or personal purposes.","","","",""
"Is employer contribution to PF taxable?","Employer contribution exceeding Rs. 7.5 lakh in a year is taxable as perquisite.","","","",""
"What is gratuity?","Gratuity is a retirement benefit received by employee for long service, partly exempt under Section 10(10).","","","",""
"What is pension?","Pension is periodic payment after retirement, taxable as salary income.","","","",""
"What is commuted pension?","Commuted pension is lump sum withdrawal of pension, partially exempt for non-government employees.","","","",""
"What is leave encashment?","Leave encashment is payment for unutilized leave, exempt up to limits under Section 10(10AA).","","","",""
"What is standard deduction under salary?","Standard deduction of Rs. 50,000 is available to salaried taxpayers and pensioners.","","","",""
"What is entertainment allowance deduction?","Deduction for entertainment allowance is allowed only to government employees under Section 16(ii).","","","",""
"What is professional tax deduction?","Professional tax paid is deductible from salary income under Section 16(iii).","","","",""
"Are allowances always taxable?","No, some allowances like HRA are partially exempt, while others are fully taxable.","","","",""
"What is HRA exemption?","HRA exemption is least of actual HRA, rent paid minus 10% salary, or 40/50% of salary depending on city.","","","",""
"Is medical reimbursement taxable?","Medical reimbursement is taxable, but medical insurance premium may be claimed under Section 80D.","","","",""
"Is employer-provided food coupon taxable?","Food coupons are exempt up to Rs. 50 per meal as per rules.","","","",""
"Is gift from employer taxable?","Gifts from employer exceeding Rs. 5,000 in a year are taxable as perquisite.","","","",""
"Is ESOP taxable?","Yes, ESOP is taxed as perquisite at exercise and as capital gain at sale.","","","",""
"What is Form 16?","Form 16 is TDS certificate issued by employer showing salary paid and tax deducted.","","","",""
"What is Section 192?","Section 192 deals with TDS deduction by employer on salary payments.","","","",""
"Why is salary taxation important for CA professionals?","CAs help in payroll compliance, perquisite valuation, TDS calculation, and employee tax planning.","","","",""
"What is TDS?","TDS means Tax Deducted at Source, where tax is deducted at the time of payment or credit of certain incomes.","","","",""
"Why is TDS deducted?","TDS ensures advance collection of tax and prevents tax evasion.","","","",""
"Who is responsible to deduct TDS?","The payer making specified payments is responsible to deduct TDS under the Income Tax Act.","","","",""
"When is TDS deducted?","TDS is deducted at the time of credit to payee or actual payment, whichever is earlier.","","","",""
"What is Section 194C?","Section 194C applies to TDS on payments to contractors and sub-contractors for work contracts.","","","",""
"What is the TDS rate under Section 194C?","TDS is 1% for individuals/HUF and 2% for others.","","","",""
"What is the threshold limit under Section 194C?","No TDS if single payment ≤ Rs. 30,000 and aggregate ≤ Rs. 1,00,000 in a year.","","","",""
"What is Section 194J?","Section 194J applies to TDS on professional fees, technical fees, royalty, and non-compete fees.","","","",""
"What is the TDS rate under Section 194J?","Generally 10%, but 2% for technical services and call center operations.","","","",""
"What is the threshold limit under Section 194J?","No TDS if payment does not exceed Rs. 30,000 in a financial year.","","","",""
"What is Section 194Q?","Section 194Q applies to TDS on purchase of goods exceeding specified limit by buyer.","","","",""
"Who is liable to deduct TDS under Section 194Q?","Buyer with turnover above Rs. 10 crore in previous year is liable.","","","",""
"What is the threshold under Section 194Q?","TDS applies if purchases from a seller exceed Rs. 50 lakh in a year.","","","",""
"What is the rate of TDS under Section 194Q?","TDS is deducted at 0.1% on amount exceeding Rs. 50 lakh.","","","",""
"What happens if PAN is not provided under Section 194Q?","Higher TDS at 5% is applicable if seller does not provide PAN.","","","",""
"What is Section 206C?","Section 206C deals with Tax Collected at Source (TCS) by seller on specified transactions.","","","",""
"What is difference between TDS and TCS?","TDS is deducted by payer, while TCS is collected by seller from buyer.","","","",""
"What is Section 206C(1H)?","Section 206C(1H) applies to TCS on sale of goods exceeding Rs. 50 lakh.","","","",""
"Who is liable under Section 206C(1H)?","Seller with turnover above Rs. 10 crore in previous year must collect TCS.","","","",""
"What is TCS rate under Section 206C(1H)?","TCS is 0.1% on sale consideration exceeding Rs. 50 lakh.","","","",""
"Can both 194Q and 206C(1H) apply together?","No, if buyer deducts TDS under 194Q, seller need not collect TCS under 206C(1H).","","","",""
"What is Form 26AS?","Form 26AS is tax credit statement showing TDS/TCS deducted and deposited against PAN.","","","",""
"What is TDS return?","TDS return is quarterly statement filed by deductor showing TDS details.","","","",""
"What is penalty for late filing of TDS return?","Late filing fee under Section 234E is Rs. 200 per day until return is filed.","","","",""
"Why is TDS compliance critical for CA professionals?","CAs ensure correct deduction, timely deposit, return filing, and avoid interest and penalties.","","","",""
"What are Capital Gains under Income Tax Act?","Capital gains arise when a capital asset is transferred and profit is earned from such transfer.","","","",""
"What is a capital asset?","A capital asset includes property, shares, securities, land, building, or any investment held by taxpayer.","","","",""
"What is transfer of capital asset?","Transfer includes sale, exchange, relinquishment, compulsory acquisition, or extinguishment of rights in asset.","","","",""
"What are Short-Term Capital Gains (STCG)?","STCG arises when a capital asset is held for a short period before transfer.","","","",""
"What are Long-Term Capital Gains (LTCG)?","LTCG arises when a capital asset is held for more than the prescribed holding period before transfer.","","","",""
"What is holding period for shares and equity mutual funds?","For listed shares and equity mutual funds, holding period above 12 months makes it long-term.","","","",""
"What is holding period for immovable property?","For land or building, holding period above 24 months makes it long-term.","","","",""
"How is capital gain calculated?","Capital Gain = Sale Consideration minus Cost of Acquisition minus Cost of Improvement minus Transfer Expenses.","","","",""
"What is indexed cost of acquisition?","Indexed cost adjusts purchase cost for inflation using Cost Inflation Index for LTCG computation.","","","",""
"Is indexation benefit available for STCG?","No, indexation benefit is available only for long-term capital assets.","","","",""
"What is Section 111A?","Section 111A provides concessional tax rate of 15% on STCG from equity shares and equity mutual funds with STT paid.","","","",""
"What is Section 112A?","Section 112A taxes LTCG on listed equity shares and equity mutual funds above Rs. 1 lakh at 10% without indexation.","","","",""
"What is exemption limit under Section 112A?","LTCG up to Rs. 1 lakh in a year is exempt for equity shares and equity mutual funds.","","","",""
"What is STT?","Securities Transaction Tax is tax levied on purchase and sale of listed securities on stock exchange.","","","",""
"What is Section 54 exemption?","Section 54 provides exemption on LTCG from sale of residential house if invested in another residential house.","","","",""
"What is the time limit for investment under Section 54?","New house must be purchased within 1 year before or 2 years after sale, or constructed within 3 years.","","","",""
"What is Section 54EC exemption?","Section 54EC provides exemption if LTCG from land/building is invested in specified bonds like NHAI or REC.","","","",""
"What is maximum investment allowed under Section 54EC?","Maximum investment allowed is Rs. 50 lakh in a financial year.","","","",""
"What is Section 54F exemption?","Section 54F provides exemption on LTCG from sale of any asset other than house if invested in residential house.","","","",""
"When is Section 54F not available?","Exemption not available if taxpayer owns more than one residential house on date of transfer.","","","",""
"What is capital loss?","Capital loss occurs when transfer value is less than cost of acquisition of capital asset.","","","",""
"Can capital losses be set off?","Yes, STCL can be set off against STCG and LTCG, while LTCL can be set off only against LTCG.","","","",""
"Can capital losses be carried forward?","Yes, capital losses can be carried forward for 8 assessment years if return filed on time.","","","",""
"Is advance tax applicable on capital gains?","Yes, advance tax must be paid if total tax liability including capital gains exceeds prescribed limit.","","","",""
"Why is capital gains taxation important for CA professionals?","CAs handle computation, exemptions, planning, and compliance for property and investment transactions.","","","",""
"What is corporate tax?","Corporate tax is income tax payable by companies on their taxable profits under the Income Tax Act.","","","",""
"Which companies are liable to pay corporate tax in India?","Both domestic companies and foreign companies earning income in India are liable to corporate tax.","","","",""
"What is a domestic company?","A domestic company is an Indian company or a foreign company that has made prescribed arrangements for dividend declaration in India.","","","",""
"What is the normal corporate tax rate for domestic companies?","Domestic companies are taxed at rates specified under Finance Act, depending on turnover and applicable sections.","","","",""
"What is Section 115BAA?","Section 115BAA provides concessional tax rate of 22% for domestic companies subject to conditions.","","","",""
"What conditions apply under Section 115BAA?","Company must forego certain exemptions and deductions like additional depreciation and MAT credit.","","","",""
"What is Section 115BAB?","Section 115BAB provides concessional tax rate of 15% for new manufacturing domestic companies subject to conditions.","","","",""
"What is Minimum Alternate Tax (MAT)?","MAT ensures that companies with low taxable income but high book profits pay minimum tax.","","","",""
"What is Section 115JB?","Section 115JB is the provision for levy of MAT on companies based on book profits.","","","",""
"When is MAT applicable?","MAT applies when income tax payable under normal provisions is less than MAT on book profits.","","","",""
"What is the MAT rate under Section 115JB?","MAT is generally levied at 15% of book profit plus surcharge and cess.","","","",""
"What is book profit for MAT purposes?","Book profit is net profit as per profit and loss account adjusted with specified additions and deductions.","","","",""
"What are common additions while computing book profit?","Income tax provision, deferred tax, reserves, and unascertained liabilities are added back.","","","",""
"What are common deductions while computing book profit?","Exempt income, depreciation adjustments, and brought forward loss as per books are deducted.","","","",""
"What is MAT credit?","MAT credit is the excess MAT paid over normal tax, which can be carried forward for future set-off.","","","",""
"For how many years MAT credit can be carried forward?","MAT credit can be carried forward for 15 assessment years.","","","",""
"When can MAT credit be utilized?","MAT credit can be set off when normal tax liability exceeds MAT liability in future years.","","","",""
"Is MAT applicable to companies opting for Section 115BAA?","No, MAT does not apply to companies opting for Section 115BAA.","","","",""
"Is MAT applicable to foreign companies?","MAT applies to foreign companies only in specified cases, mainly when they have a place of business in India.","","","",""
"What is Alternate Minimum Tax (AMT)?","AMT is similar to MAT but applies to non-corporate taxpayers claiming certain deductions.","","","",""
"What is surcharge in corporate tax?","Surcharge is an additional tax levied on companies if income exceeds specified thresholds.","","","",""
"What is health and education cess?","Cess is additional levy of 4% on income tax plus surcharge.","","","",""
"What is advance tax for companies?","Companies must pay tax in instalments during the year if liability exceeds Rs. 10,000.","","","",""
"Why is corporate tax planning important?","Corporate tax planning helps companies reduce liability legally through correct deductions and regime selection.","","","",""
"Why is MAT important for CA professionals?","CAs ensure correct computation of book profit, MAT liability, and proper utilization of MAT credit.","","","",""
"What is tax audit under Income Tax Act?","Tax audit is an audit of books of accounts conducted under Section 44AB to ensure correct reporting of income and compliance.","","","",""
"Who is required to get tax audit done under Section 44AB?","Businesses exceeding turnover limit and professionals exceeding gross receipts limit must get tax audit done.","","","",""
"What is Form 3CD?","Form 3CD is the detailed statement of particulars required to be furnished along with tax audit report.","","","",""
"What is Form 3CA?","Form 3CA is tax audit report where accounts are already audited under other laws like Companies Act.","","","",""
"What is Form 3CB?","Form 3CB is tax audit report where accounts are not audited under any other law.","","","",""
"What is Clause 1 of Form 3CD?","Clause 1 requires reporting of name and address of assessee.","","","",""
"What is Clause 4 of Form 3CD?","Clause 4 requires reporting of whether assessee is liable to audit under any other law.","","","",""
"What is Clause 8 of Form 3CD?","Clause 8 requires reporting of relevant assessment year and financial year.","","","",""
"What is Clause 9 of Form 3CD?","Clause 9 requires reporting of details of partners or members in case of firm or AOP.","","","",""
"What is Clause 10 of Form 3CD?","Clause 10 requires reporting of nature of business or profession carried on by assessee.","","","",""
"What is Clause 11 of Form 3CD?","Clause 11 requires reporting of books of accounts maintained and their location.","","","",""
"What is Clause 13 of Form 3CD?","Clause 13 requires reporting of method of accounting followed and any change therein.","","","",""
"What is Clause 14 of Form 3CD?","Clause 14 requires reporting of valuation method of closing stock and any deviation.","","","",""
"What is Clause 15 of Form 3CD?","Clause 15 requires reporting of profits and gains under presumptive taxation schemes.","","","",""
"What is Clause 16 of Form 3CD?","Clause 16 requires reporting of amounts not credited to profit and loss account being capital receipts.","","","",""
"What is Clause 17 of Form 3CD?","Clause 17 requires reporting of transfer of land or building under Section 43CA or 50C.","","","",""
"What is Clause 18 of Form 3CD?","Clause 18 requires reporting of depreciation details as per Income Tax Act.","","","",""
"What is Clause 19 of Form 3CD?","Clause 19 requires reporting of deductions under Chapter VI-A like 80C to 80U.","","","",""
"What is Clause 20 of Form 3CD?","Clause 20 requires reporting of employee welfare contributions like PF and ESI.","","","",""
"What is Clause 21 of Form 3CD?","Clause 21 requires reporting of disallowances under Sections 40A, 43B, etc.","","","",""
"What is Clause 22 of Form 3CD?","Clause 22 requires reporting of payments to specified persons under Section 40A(2)(b).","","","",""
"What is Clause 23 of Form 3CD?","Clause 23 requires reporting of payments made without TDS or with late TDS under Section 40(a).","","","",""
"What is Clause 26 of Form 3CD?","Clause 26 requires reporting of liabilities under Section 43B not paid before due date.","","","",""
"What is Clause 27 of Form 3CD?","Clause 27 requires reporting of CENVAT, GST credit treatment in books of accounts.","","","",""
"Why is Form 3CD important for CA professionals?","Form 3CD ensures detailed compliance reporting and helps avoid penalties, scrutiny issues, and disallowances.","","","",""
"What is income tax assessment?","Assessment is the process of determining taxable income and tax liability of a taxpayer by the Income Tax Department.","","","",""
"What is Section 143(1) intimation?","Section 143(1) intimation is preliminary processing of return with adjustments for arithmetical errors or mismatches.","","","",""
"Is Section 143(1) an assessment?","No, it is only an intimation and not a detailed scrutiny assessment.","","","",""
"What is Section 143(2) notice?","Section 143(2) notice is issued when the return is selected for scrutiny assessment.","","","",""
"Why is Section 143(2) notice issued?","It is issued to verify correctness of income, deductions, exemptions, and claims made in the return.","","","",""
"What is the time limit to issue notice under Section 143(2)?","Notice must be issued within 3 months from end of financial year in which return is filed.","","","",""
"What is scrutiny assessment under Section 143(3)?","Scrutiny assessment is detailed examination of return after hearing taxpayer and verifying documents.","","","",""
"What is Section 142(1) notice?","Section 142(1) notice is issued to call for information, accounts, or documents before assessment.","","","",""
"What happens if taxpayer ignores Section 142(1) notice?","Non-compliance may lead to best judgment assessment and penalty proceedings.","","","",""
"What is best judgment assessment under Section 144?","Section 144 assessment is made by AO based on available information if taxpayer fails to comply with notices.","","","",""
"What is reassessment under Section 147?","Section 147 allows reopening of assessment if income has escaped assessment.","","","",""
"What is Section 148 notice?","Section 148 notice is issued to taxpayer for filing return when reassessment proceedings are initiated.","","","",""
"When can Section 148 notice be issued?","It can be issued if AO has reason to believe income chargeable to tax has escaped assessment.","","","",""
"What is Section 148A?","Section 148A provides procedure of inquiry and opportunity of hearing before issuing notice under Section 148.","","","",""
"What is demand notice under Section 156?","Section 156 notice is issued for payment of tax, interest, penalty, or other sum payable.","","","",""
"What is the time limit to pay demand under Section 156?","Demand must generally be paid within 30 days from date of notice.","","","",""
"What is Section 245 adjustment?","Section 245 allows department to adjust refund against outstanding tax demand after intimation.","","","",""
"What is rectification under Section 154?","Section 154 allows correction of mistakes apparent from record in assessment orders or intimations.","","","",""
